,Component 0,Component 1,Component 2,Component 3
Absorption_response,0.111,0.134,0.365,-0.013
Other_response,0.325,0.069,-0.175,0.296
Problem_response,-0.236,0.242,0.508,-0.152
Words_response,0.105,-0.002,0.082,0.288
Sounds_response,-0.192,0.134,-0.052,0.584
Images_response,-0.079,-0.018,0.028,0.487
Past_response,0.55,-0.01,0.034,-0.004
Distracting_response,0.09,0.52,-0.098,-0.018
Focus_response,0.021,0.393,0.145,-0.143
Intrusive_response,0.074,0.44,-0.06,0.104
Deliberate_response,-0.08,-0.176,0.471,0.093
Detailed_response,0.102,-0.074,0.438,0.181
Future_response,-0.092,0.362,0.144,0.208
Emotion_response,0.173,-0.273,0.102,0.314
Self_response,0.437,0.179,-0.071,-0.008
Knowledge_response,0.457,-0.094,0.287,-0.117
