Absorption_response,0.529,0.182,0.229,0.267
Other_response,-0.168,0.345,0.569,-0.186
Problem_response,0.478,-0.01,-0.137,0.661
Words_response,0.245,0.032,0.562,0.139
Sounds_response,0.075,0.634,0.116,-0.071
Images_response,0.115,0.485,0.219,-0.199
Past_response,0.198,0.121,0.737,0.072
Distracting_response,-0.291,0.446,0.181,0.48
Focus_response,0.033,0.092,0.203,0.706
Intrusive_response,-0.064,0.659,0.127,0.272
Deliberate_response,0.687,-0.136,0.088,-0.093
Detailed_response,0.727,0.249,0.24,-0.021
Future_response,0.167,0.562,-0.102,0.415
Emotion_response,0.376,0.374,0.017,-0.537
Self_response,-0.004,0.373,0.456,0.043
Knowledge_response,0.478,-0.048,0.615,0.101
