Absorption_response,0.622,0.108,0.106,-0.106
Other_response,-0.126,0.235,0.69,0.091
Problem_response,0.562,0.253,-0.339,-0.429
Words_response,0.342,-0.043,0.532,-0.171
Sounds_response,-0.023,0.496,0.178,0.285
Images_response,0.054,0.163,0.469,0.354
Past_response,0.338,0.095,0.663,-0.04
Distracting_response,-0.219,0.628,0.101,-0.299
Focus_response,0.223,0.361,0.107,-0.611
Intrusive_response,0.011,0.727,0.086,0.014
Deliberate_response,0.674,-0.174,0.071,0.114
Detailed_response,0.741,0.155,0.099,0.272
Future_response,0.142,0.59,-0.069,-0.168
Emotion_response,0.26,0.144,0.048,0.733
Self_response,0.159,0.518,0.183,0.173
Knowledge_response,0.604,0.009,0.432,-0.008
